clip,category,n_frames,gt_drone_pos,classifier,split,acc,f1m
video_airplanes_airplanes_compilation,airplanes,249,0,lean10,train,0.9920,0.4980
video_airplanes_airplanes_compilation,airplanes,249,0,lean13,train,1.0000,1.0000
video_airplanes_airplanes_compilation,airplanes,249,0,lean17,train,1.0000,1.0000
video_airplanes_airplanes_compilation,airplanes,249,0,lean19,train,1.0000,1.0000
video_airplanes_airplanes_compilation,airplanes,249,0,32feat,n/a,1.0000,1.0000
video_airplanes_airplanes_compilation,airplanes,249,0,40feat,n/a,0.7992,0.2221
video_airplanes_distant_airplane_over_head_flying_away,airplanes,55,0,lean10,train,1.0000,1.0000
video_airplanes_distant_airplane_over_head_flying_away,airplanes,55,0,lean13,train,1.0000,1.0000
video_airplanes_distant_airplane_over_head_flying_away,airplanes,55,0,lean17,train,1.0000,1.0000
video_airplanes_distant_airplane_over_head_flying_away,airplanes,55,0,lean19,test,0.7273,0.4211
video_airplanes_distant_airplane_over_head_flying_away,airplanes,55,0,32feat,n/a,1.0000,1.0000
video_airplanes_distant_airplane_over_head_flying_away,airplanes,55,0,40feat,n/a,0.7091,0.4149
video_birds_birds_flying_overhead_various_sizes_short,birds,20,0,lean10,train,1.0000,1.0000
video_birds_birds_flying_overhead_various_sizes_short,birds,20,0,lean13,train,1.0000,1.0000
video_birds_birds_flying_overhead_various_sizes_short,birds,20,0,lean17,train,1.0000,1.0000
video_birds_birds_flying_overhead_various_sizes_short,birds,20,0,lean19,train,1.0000,1.0000
video_birds_birds_flying_overhead_various_sizes_short,birds,20,0,32feat,n/a,1.0000,1.0000
video_birds_birds_flying_overhead_various_sizes_short,birds,20,0,40feat,n/a,0.9000,0.3158
video_birds_birds_in_slow_motion_flying_various_sizes_compilation,birds,271,0,lean10,train,0.9852,0.4963
video_birds_birds_in_slow_motion_flying_various_sizes_compilation,birds,271,0,lean13,train,1.0000,1.0000
video_birds_birds_in_slow_motion_flying_various_sizes_compilation,birds,271,0,lean17,train,1.0000,1.0000
video_birds_birds_in_slow_motion_flying_various_sizes_compilation,birds,271,0,lean19,train,1.0000,1.0000
video_birds_birds_in_slow_motion_flying_various_sizes_compilation,birds,271,0,32feat,n/a,1.0000,1.0000
video_birds_birds_in_slow_motion_flying_various_sizes_compilation,birds,271,0,40feat,n/a,0.9779,0.4944
video_birds_distant_birds_flying_in_the_sky_short,birds,20,0,lean10,train,1.0000,1.0000
video_birds_distant_birds_flying_in_the_sky_short,birds,20,0,lean13,train,1.0000,1.0000
video_birds_distant_birds_flying_in_the_sky_short,birds,20,0,lean17,train,1.0000,1.0000
video_birds_distant_birds_flying_in_the_sky_short,birds,20,0,lean19,train,1.0000,1.0000
video_birds_distant_birds_flying_in_the_sky_short,birds,20,0,32feat,n/a,1.0000,1.0000
video_birds_distant_birds_flying_in_the_sky_short,birds,20,0,40feat,n/a,0.6000,0.2500
video_birds_flock_of_birds_flying_short,birds,21,0,lean10,train,1.0000,1.0000
video_birds_flock_of_birds_flying_short,birds,21,0,lean13,train,1.0000,1.0000
video_birds_flock_of_birds_flying_short,birds,21,0,lean17,train,1.0000,1.0000
video_birds_flock_of_birds_flying_short,birds,21,0,lean19,train,1.0000,1.0000
video_birds_flock_of_birds_flying_short,birds,21,0,32feat,n/a,1.0000,1.0000
video_birds_flock_of_birds_flying_short,birds,21,0,40feat,n/a,0.8095,0.4474
video_birds_flock_of_birds_flying_sunset,birds,20,0,lean10,train,1.0000,1.0000
video_birds_flock_of_birds_flying_sunset,birds,20,0,lean13,train,1.0000,1.0000
video_birds_flock_of_birds_flying_sunset,birds,20,0,lean17,train,1.0000,1.0000
video_birds_flock_of_birds_flying_sunset,birds,20,0,lean19,train,1.0000,1.0000
video_birds_flock_of_birds_flying_sunset,birds,20,0,32feat,n/a,1.0000,1.0000
video_birds_flock_of_birds_flying_sunset,birds,20,0,40feat,n/a,1.0000,1.0000
video_drone_drone_and_bird_sky_and_trees_short,drone,114,79,lean10,test,0.5614,0.4581
video_drone_drone_and_bird_sky_and_trees_short,drone,114,79,lean13,test,0.3772,0.2435
video_drone_drone_and_bird_sky_and_trees_short,drone,114,79,lean17,test,0.4211,0.2770
video_drone_drone_and_bird_sky_and_trees_short,drone,114,79,lean19,test,0.5965,0.4365
video_drone_drone_and_bird_sky_and_trees_short,drone,114,79,32feat,n/a,0.3772,0.3260
video_drone_drone_and_bird_sky_and_trees_short,drone,114,79,40feat,n/a,0.8772,0.6153
video_drone_drone_attacked_by_bird_mountain_side_view,drone,108,71,lean10,train,0.8981,0.9180
video_drone_drone_attacked_by_bird_mountain_side_view,drone,108,71,lean13,train,1.0000,1.0000
video_drone_drone_attacked_by_bird_mountain_side_view,drone,108,71,lean17,train,1.0000,1.0000
video_drone_drone_attacked_by_bird_mountain_side_view,drone,108,71,lean19,train,0.9907,0.9924
video_drone_drone_attacked_by_bird_mountain_side_view,drone,108,71,32feat,n/a,0.3426,0.1701
video_drone_drone_attacked_by_bird_mountain_side_view,drone,108,71,40feat,n/a,0.5000,0.3789
video_drone_drone_over_mountain_attacked_by_birds,drone,68,35,lean10,train,1.0000,1.0000
video_drone_drone_over_mountain_attacked_by_birds,drone,68,35,lean13,train,1.0000,1.0000
video_drone_drone_over_mountain_attacked_by_birds,drone,68,35,lean17,train,1.0000,1.0000
video_drone_drone_over_mountain_attacked_by_birds,drone,68,35,lean19,train,1.0000,1.0000
video_drone_drone_over_mountain_attacked_by_birds,drone,68,35,32feat,n/a,0.6912,0.5121
video_drone_drone_over_mountain_attacked_by_birds,drone,68,35,40feat,n/a,0.7647,0.6749
video_drone_drone_seagull_attack,drone,235,186,lean10,train,0.9957,0.9963
video_drone_drone_seagull_attack,drone,235,186,lean13,train,0.9957,0.9956
video_drone_drone_seagull_attack,drone,235,186,lean17,train,1.0000,1.0000
video_drone_drone_seagull_attack,drone,235,186,lean19,test,0.5660,0.4029
video_drone_drone_seagull_attack,drone,235,186,32feat,n/a,0.4213,0.2576
video_drone_drone_seagull_attack,drone,235,186,40feat,n/a,0.6383,0.4427
video_drone_drone_takeoff_from_ground_and_not_hand_short,drone,163,139,lean10,train,0.9939,0.9928
video_drone_drone_takeoff_from_ground_and_not_hand_short,drone,163,139,lean13,train,0.9939,0.9928
video_drone_drone_takeoff_from_ground_and_not_hand_short,drone,163,139,lean17,train,0.9939,0.9928
video_drone_drone_takeoff_from_ground_and_not_hand_short,drone,163,139,lean19,train,0.9939,0.9928
video_drone_drone_takeoff_from_ground_and_not_hand_short,drone,163,139,32feat,n/a,0.5583,0.3484
video_drone_drone_takeoff_from_ground_and_not_hand_short,drone,163,139,40feat,n/a,0.8589,0.7688
video_drone_drone_takeoff_short,drone,116,101,lean10,train,0.9569,0.9425
video_drone_drone_takeoff_short,drone,116,101,lean13,train,1.0000,1.0000
video_drone_drone_takeoff_short,drone,116,101,lean17,train,1.0000,1.0000
video_drone_drone_takeoff_short,drone,116,101,lean19,train,1.0000,1.0000
video_drone_drone_takeoff_short,drone,116,101,32feat,n/a,0.2414,0.2145
video_drone_drone_takeoff_short,drone,116,101,40feat,n/a,0.7155,0.5131
video_drone_drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,drone,166,128,lean10,train,0.9940,0.9938
video_drone_drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,drone,166,128,lean13,train,0.9940,0.9938
video_drone_drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,drone,166,128,lean17,train,1.0000,1.0000
video_drone_drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,drone,166,128,lean19,train,0.9940,0.9938
video_drone_drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,drone,166,128,32feat,n/a,0.5181,0.3873
video_drone_drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,drone,166,128,40feat,n/a,0.8675,0.6497
video_drone_flock_of_seagulls_attack_drone_beach,drone,239,165,lean10,train,0.9331,0.9567
video_drone_flock_of_seagulls_attack_drone_beach,drone,239,165,lean13,train,0.9916,0.9944
video_drone_flock_of_seagulls_attack_drone_beach,drone,239,165,lean17,train,1.0000,1.0000
video_drone_flock_of_seagulls_attack_drone_beach,drone,239,165,lean19,train,0.9874,0.9916
video_drone_flock_of_seagulls_attack_drone_beach,drone,239,165,32feat,n/a,0.3096,0.1182
video_drone_flock_of_seagulls_attack_drone_beach,drone,239,165,40feat,n/a,0.6318,0.5034
video_drone_two_birds_drone,drone,150,140,lean10,test,0.3867,0.3597
video_drone_two_birds_drone,drone,150,140,lean13,test,0.1267,0.0983
video_drone_two_birds_drone,drone,150,140,lean17,test,0.1200,0.0936
video_drone_two_birds_drone,drone,150,140,lean19,train,0.9933,0.9962
video_drone_two_birds_drone,drone,150,140,32feat,n/a,0.0667,0.0312
video_drone_two_birds_drone,drone,150,140,40feat,n/a,0.5133,0.4336
video_helicopters_helicopter_compilation,helicopters,554,0,lean10,train,0.9856,0.3309
video_helicopters_helicopter_compilation,helicopters,554,0,lean13,train,1.0000,1.0000
video_helicopters_helicopter_compilation,helicopters,554,0,lean17,train,1.0000,1.0000
video_helicopters_helicopter_compilation,helicopters,554,0,lean19,train,0.9982,0.4995
video_helicopters_helicopter_compilation,helicopters,554,0,32feat,n/a,0.9783,0.2473
video_helicopters_helicopter_compilation,helicopters,554,0,40feat,n/a,0.8881,0.2352
video_helicopters_helicopter_overhead_short,helicopters,20,0,lean10,test,0.9500,0.4872
video_helicopters_helicopter_overhead_short,helicopters,20,0,lean13,test,0.8000,0.2963
video_helicopters_helicopter_overhead_short,helicopters,20,0,lean17,test,0.7500,0.2857
video_helicopters_helicopter_overhead_short,helicopters,20,0,lean19,train,1.0000,1.0000
video_helicopters_helicopter_overhead_short,helicopters,20,0,32feat,n/a,0.8000,0.2963
video_helicopters_helicopter_overhead_short,helicopters,20,0,40feat,n/a,0.5000,0.2222
video_helicopters_helicopter_overhead_very_small_airplane_in_background,helicopters,20,0,lean10,train,1.0000,1.0000
video_helicopters_helicopter_overhead_very_small_airplane_in_background,helicopters,20,0,lean13,train,1.0000,1.0000
video_helicopters_helicopter_overhead_very_small_airplane_in_background,helicopters,20,0,lean17,train,1.0000,1.0000
video_helicopters_helicopter_overhead_very_small_airplane_in_background,helicopters,20,0,lean19,train,1.0000,1.0000
video_helicopters_helicopter_overhead_very_small_airplane_in_background,helicopters,20,0,32feat,n/a,1.0000,1.0000
video_helicopters_helicopter_overhead_very_small_airplane_in_background,helicopters,20,0,40feat,n/a,1.0000,1.0000
